libexpat.so.1,294,69,19,14,2.12,17,14, 0.48
libXpm.so.4,97,34,16,6,0.82,16,6, 0.36
libtiff.so.6,699,193,107,21,2.32,80,21, 1.0
libcurl.so.4,2811,88,69,28,0.95,68,28, 0.44
libr_core.so.5.9.2,2424,759,295,7,4.06,191,7, 3.89
libgnutls.so.30,2820,1312,931,6,0.54,910,6, 0.19
libxml2.so.2,2171,1398,915,9,0.47,907,9, 0.15
libnetsnmpmibs.so.40,2050,1717,135,6,4.49,132,6, 2.59
libcrypto.so.3,9422,4003,2675,25,5.17,2661,25, 2.55
